"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 22:05:51 GMT 2024","Mon Nov 25 22:06:00 GMT 2024","8518","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesProjectWithEmptyName","User should not be able to craete build type with not exist repositiry",""
"passed","Mon Nov 25 22:03:48 GMT 2024","Mon Nov 25 22:04:40 GMT 2024","52663","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 22:06:15 GMT 2024","Mon Nov 25 22:06:15 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Mon Nov 25 22:04:50 GMT 2024","Mon Nov 25 22:05:51 GMT 2024","60783","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 22:06:00 GMT 2024","Mon Nov 25 22:06:15 GMT 2024","14576","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
