"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 19:14:17 GMT 2024","Mon Nov 25 19:14:26 GMT 2024","9562","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesProjectWithEmptyName","User should not be able to craete build type with not exist repositiry",""
"passed","Mon Nov 25 19:14:43 GMT 2024","Mon Nov 25 19:14:43 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"failed","Mon Nov 25 19:13:24 GMT 2024","Mon Nov 25 19:14:16 GMT 2024","52375","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 19:14:27 GMT 2024","Mon Nov 25 19:14:43 GMT 2024","16465","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 19:12:25 GMT 2024","Mon Nov 25 19:13:15 GMT 2024","49281","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
