"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 21:39:38 GMT 2024","Mon Nov 25 21:39:38 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Mon Nov 25 21:39:21 GMT 2024","Mon Nov 25 21:39:38 GMT 2024","17302","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 21:37:17 GMT 2024","Mon Nov 25 21:38:06 GMT 2024","49647","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 21:39:10 GMT 2024","Mon Nov 25 21:39:21 GMT 2024","11011","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesProjectWithEmptyName","User should not be able to craete build type with not exist repositiry",""
"failed","Mon Nov 25 21:38:16 GMT 2024","Mon Nov 25 21:39:09 GMT 2024","52982","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
