"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 22:17:17 GMT 2024","Mon Nov 25 22:17:26 GMT 2024","9272","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesProjectWithEmptyName","User should not be able to craete build type with not exist repositiry",""
"passed","Mon Nov 25 22:17:43 GMT 2024","Mon Nov 25 22:17:43 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Mon Nov 25 22:15:16 GMT 2024","Mon Nov 25 22:16:07 GMT 2024","50473","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 22:16:16 GMT 2024","Mon Nov 25 22:17:16 GMT 2024","59964","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 22:17:27 GMT 2024","Mon Nov 25 22:17:43 GMT 2024","16209","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
