"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 21:49:54 GMT 2024","Mon Nov 25 21:50:09 GMT 2024","14641","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 21:47:49 GMT 2024","Mon Nov 25 21:48:41 GMT 2024","51300","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 21:48:50 GMT 2024","Mon Nov 25 21:49:45 GMT 2024","54536","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 21:50:09 GMT 2024","Mon Nov 25 21:50:09 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Mon Nov 25 21:49:45 GMT 2024","Mon Nov 25 21:49:54 GMT 2024","9118","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesProjectWithEmptyName","User should not be able to craete build type with not exist repositiry",""
